a, base, consequência, escala, minha
acabo, de
antônio, carlos
aqui, este
as, notas
aí, que
base, é
carlos, jobim
com, a
como, eu
consequência, do, inevitável
contar, com
de, uma, dizer, você, toda
deu, em
diz, nada
do, que
e, não, no, voltei, quem
eis, aqui
em, nada
entrar, mas
esta, outra
este, sambinha
eu, sou, volto, gosto
existe, por
fala, tanto
feito, numa
fica, sempre
final, não
fique, numa
fá, sol
gente, existe
gosto, de
inevitável, de
já, me
lá, si
mas, a
me, utilizei
mi, fá
minha, nota
no, final
nota, só, como
notas, vão
numa, nota
não, diz, sobrou, deu
ou, quase
outra, é
outras, notas
por, aí
pra, minha, você
quanta, gente
quase, nada
que, acabo, fala
quem, quer
quer, todas
ré, mi
samba, de
sambinha, feito
sem, nenhuma
sempre, sem
si, dó
sobrou, nada
sol, lá
sou, a
tanto, e
toda, a
todas, as
uma, nota, só
utilizei, de
voltei, pra
volto, pra
vou, contar
vão, entrar
é, uma, consequência
